text,label
India wins Cricket World Cup,REAL
Scientists discover water on Mars,REAL
Government launches new education policy,REAL
Aliens attack Delhi at midnight,FAKE
Man becomes invisible after eating mango,FAKE
Dinosaurs found alive in Bihar,FAKE
India launches new satellite,REAL
Ghost elected as village head,FAKE
India wins Cricket World Cup,REAL
Scientists discover water on Mars,REAL
Government launches new education policy,REAL
India launches new satellite,REAL
New AI model improves healthcare diagnostics,REAL
Stock market reaches record high,REAL
New metro line inaugurated in Delhi,REAL
Researchers develop new cancer treatment,REAL
ISRO successfully launches communication satellite,REAL
Indian economy grows by 7 percent,REAL
Aliens attack Delhi at midnight,FAKE
Man becomes invisible after eating mango,FAKE
Dinosaurs found alive in Bihar,FAKE
Ghost elected as village head,FAKE
Moon made entirely of chocolate,FAKE
Flying elephant spotted over Mumbai,FAKE
Scientists confirm humans can breathe underwater naturally,FAKE
Time traveler wins lottery 20 times in a row,FAKE
School principal is actually a robot from Mars,FAKE
Sun rises from west for one day,FAKE
New railway station opened in Patna,REAL
Government announces scholarship for engineering students,REAL
Researchers discover new species in the Himalayas,REAL
India hosts international technology summit,REAL
Scientists develop biodegradable plastic alternative,REAL
New airport begins operations in Northeast India,REAL
Major breakthrough achieved in quantum computing,REAL
National highway expansion project approved,REAL
Agricultural exports reach all-time high,REAL
Indian startup raises record funding,REAL
Man lives without food for 10 years,FAKE
Talking dog becomes university professor,FAKE
Invisible city discovered under ocean,FAKE
Dragon seen flying over Rajasthan,FAKE
Scientists prove Earth is shaped like a cube,FAKE
Ancient smartphone found in dinosaur fossil,FAKE
Cow learns to speak five languages,FAKE
Alien university opens campus in Lucknow,FAKE
Magic tree grows smartphones every year,FAKE
Man travels to Jupiter using bicycle,FAKE
New medical college inaugurated in Bihar,REAL
Researchers create efficient solar panels,REAL
India signs major trade agreement,REAL
Scientists discover new exoplanet,REAL
National literacy rate reaches new high,REAL
New electric vehicle policy announced,REAL
Space telescope captures distant galaxy image,REAL
Technology company launches innovative AI tool,REAL
Government expands digital education initiatives,REAL
Engineers design low-cost water purification system,REAL
